initial_line,example,steps,avg_reward,max_reward
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",1,50,-33.833333333333336,41
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",1,100,-11.083333333333334,64
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",1,200,24.5,124
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",2,50,-46.916666666666664,-6
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",2,100,-23.916666666666668,50
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",2,200,56.583333333333336,105
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",3,50,1.0833333333333333,53
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",3,100,77.25,161
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",3,200,211.16666666666666,285
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",4,50,-18.333333333333332,47
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",4,100,56.166666666666664,172
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",4,200,207.41666666666666,329
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",5,50,22.416666666666668,85
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",5,100,102.25,191
"[3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3]",5,200,299.1666666666667,406
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",1,50,-56.833333333333336,5
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",1,100,-12.916666666666666,72
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",1,200,41.5,144
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",2,50,-28.166666666666668,26
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",2,100,-4.833333333333333,50
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",2,200,72.25,161
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",3,50,21.416666666666668,64
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",3,100,100.83333333333333,161
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",3,200,219.33333333333334,270
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",4,50,0.25,91
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",4,100,73.33333333333333,182
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",4,200,216.33333333333334,333
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",5,50,7.75,76
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",5,100,87.08333333333333,197
"[1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4, 1, 2, 3, 3, 3, 4, 2, 1, 2, 3, 4, 4]",5,200,243.91666666666666,406
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",1,50,-8.083333333333334,153
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",1,100,-5.166666666666667,64
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",1,200,45.416666666666664,139
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",2,50,-9.916666666666666,30
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",2,100,-0.9166666666666666,60
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",2,200,86.0,119
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",3,50,45.333333333333336,113
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",3,100,101.75,159
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",3,200,163.33333333333334,246
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",4,50,30.416666666666668,85
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",4,100,94.75,144
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",4,200,226.5,309
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",5,50,45.666666666666664,108
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",5,100,143.58333333333334,226
"[1, 1, 2, 2, 3, 3, 4, 4, 4, 4, 3, 3, 2, 2, 1, 1]",5,200,301.5833333333333,421
